$GPGGA,093659.00,2258.9243192,N,11321.6915655,E,5,12,3.0,52.9410,M,-6.0482,M,2.0,0000*6C
$GPGGA,093700.00,2258.9242531,N,11321.6916715,E,5,12,3.0,52.6720,M,-6.0482,M,2.0,0000*64
$GPGGA,093701.00,2258.9242332,N,11321.6917132,E,5,12,3.0,52.4843,M,-6.0481,M,2.0,0000*69
$GPGGA,093702.00,2258.9242653,N,11321.6916939,E,5,12,3.0,52.3955,M,-6.0482,M,2.0,0000*68
$GPGGA,093703.00,2258.9243388,N,11321.6916069,E,5,12,3.0,52.4576,M,-6.0482,M,2.0,0000*6D
$GPGGA,093704.00,2258.9244276,N,11321.6915026,E,5,12,3.0,52.5491,M,-6.0482,M,2.0,0000*6C
$GPGGA,093705.00,2258.9245158,N,11321.6914323,E,5,12,3.0,52.5482,M,-6.0482,M,2.0,0000*66
$GPGGA,093706.00,2258.9246121,N,11321.6913564,E,5,12,3.0,52.5427,M,-6.0482,M,2.0,0000*65
$GPGGA,093707.00,2258.9247067,N,11321.6913086,E,5,12,3.0,52.4724,M,-6.0482,M,2.0,0000*6E
$GPGGA,093708.00,2258.9247974,N,11321.6912316,E,5,12,3.0,52.3732,M,-6.0482,M,2.0,0000*61
$GPGGA,093709.00,2258.9248459,N,11321.6912028,E,5,11,3.3,52.1991,M,-6.0482,M,2.0,0000*66
$GPGGA,093710.00,2258.9248724,N,11321.6911880,E,5,11,3.3,52.0428,M,-6.0482,M,2.0,0000*60
$GPGGA,093711.00,2258.9249292,N,11321.6911231,E,5,11,3.3,52.0376,M,-6.0482,M,2.0,0000*64
$GPGGA,093712.00,2258.9249798,N,11321.6910575,E,5,10,3.3,52.0715,M,-6.0482,M,2.0,0000*6E
$GPGGA,093713.00,2258.9250481,N,11321.6909856,E,5,11,3.3,52.0505,M,-6.0482,M,2.0,0000*6A
$GPGGA,093714.00,2258.9250843,N,11321.6909639,E,5,10,3.3,51.9632,M,-6.0482,M,2.0,0000*64
$GPGGA,093715.00,2258.9250944,N,11321.6909229,E,5,09,3.4,52.0617,M,-6.0482,M,2.0,0000*64
$GPGGA,093716.00,2258.9251080,N,11321.6908713,E,5,09,3.4,52.2181,M,-6.0482,M,2.0,0000*60
$GPGGA,093717.00,2258.9251480,N,11321.6907989,E,5,11,3.0,52.3544,M,-6.0482,M,2.0,0000*66
$GPGGA,093718.00,2258.9251647,N,11321.6907638,E,5,10,3.3,52.4122,M,-6.0482,M,2.0,0000*64
$GPGGA,093719.00,2258.9224097,N,11321.6935525,E,5,09,3.3,51.5452,M,-6.0480,M,2.0,0000*68
$GPGGA,093720.00,2258.9225414,N,11321.6933670,E,5,08,3.5,51.5614,M,-6.0480,M,2.0,0000*6E
$GPGGA,093721.00,2258.9227039,N,11321.6931831,E,5,09,3.3,51.6851,M,-6.0480,M,2.0,0000*64
$GPGGA,093722.00,2258.9228528,N,11321.6927523,E,5,11,3.2,53.0150,M,-6.0480,M,2.0,0000*60
$GPGGA,093723.00,2258.9229749,N,11321.6925239,E,5,11,3.2,53.6229,M,-6.0481,M,2.0,0000*61
$GPGGA,093724.00,2258.9229584,N,11321.6924755,E,5,11,3.2,53.6892,M,-6.0480,M,2.0,0000*60
$GPGGA,093725.00,2258.9229418,N,11321.6924207,E,5,11,3.2,53.8478,M,-6.0481,M,2.0,0000*60
$GPGGA,093726.00,2258.9228047,N,11321.6925345,E,5,11,3.2,53.7602,M,-6.0480,M,2.0,0000*6B
$GPGGA,093727.00,2258.9226094,N,11321.6928077,E,5,11,3.2,53.4869,M,-6.0480,M,2.0,0000*65
$GPGGA,093728.00,2258.9225556,N,11321.6930096,E,5,11,3.2,53.2994,M,-6.0480,M,2.0,0000*61
$GPGGA,093729.00,2258.9225355,N,11321.6931756,E,5,11,3.2,53.2236,M,-6.0480,M,2.0,0000*6C
$GPGGA,093730.00,2258.9224850,N,11321.6933092,E,5,11,3.2,53.2312,M,-6.0480,M,2.0,0000*61
$GPGGA,093731.00,2258.9223634,N,11321.6934882,E,5,10,3.2,53.1495,M,-6.0480,M,2.0,0000*6F
$GPGGA,093732.00,2258.9222279,N,11321.6935765,E,5,10,3.2,53.3220,M,-6.0479,M,2.0,0000*6B
$GPGGA,093733.00,2258.9221474,N,11321.6936294,E,5,10,3.2,53.4460,M,-6.0479,M,2.0,0000*6F
$GPGGA,093734.00,2258.9220356,N,11321.6937835,E,5,11,3.2,53.3265,M,-6.0479,M,2.0,0000*6B
$GPGGA,093735.00,2258.9219315,N,11321.6939357,E,5,11,3.2,53.1442,M,-6.0479,M,2.0,0000*67
$GPGGA,093736.00,2258.9219249,N,11321.6939678,E,5,11,3.2,53.1628,M,-6.0479,M,2.0,0000*6A
$GPGGA,093737.00,2258.9219799,N,11321.6938928,E,5,11,3.2,53.3470,M,-6.0479,M,2.0,0000*65
$GPGGA,093738.00,2258.9220533,N,11321.6938072,E,5,11,3.2,53.4702,M,-6.0479,M,2.0,0000*65
$GPGGA,093739.00,2258.9221337,N,11321.6937136,E,5,11,3.2,53.5756,M,-6.0479,M,2.0,0000*69
$GPGGA,093740.00,2258.9221993,N,11321.6936016,E,5,11,3.2,53.8040,M,-6.0479,M,2.0,0000*6C
$GPGGA,093741.00,2258.9222417,N,11321.6934864,E,5,11,3.2,54.0340,M,-6.0480,M,2.0,0000*6A
$GPGGA,093742.00,2258.9222959,N,11321.6933659,E,5,11,3.2,54.2566,M,-6.0480,M,2.0,0000*69
$GPGGA,093743.00,2258.9223743,N,11321.6932286,E,5,11,3.2,54.4866,M,-6.0480,M,2.0,0000*60
$GPGGA,093744.00,2258.9224221,N,11321.6931160,E,5,11,3.2,54.7348,M,-6.0480,M,2.0,0000*6D
$GPGGA,093745.00,2258.9224342,N,11321.6930296,E,5,10,3.2,54.9450,M,-6.0480,M,2.0,0000*62
$GPGGA,093746.00,2258.9224914,N,11321.6929274,E,5,11,3.2,55.1333,M,-6.0480,M,2.0,0000*66
